2025-05-01 13:04:11,778 - INFO - Monitoring thread started
2025-05-01 13:04:11,779 - INFO - Proc-Wolf system tray monitor starting
2025-05-01 13:04:11,829 - INFO - proc-wolf v1.0.0 started. Watching processes...
2025-05-01 13:06:24,680 - WARNING - Suspicious process: ZeroConfigService.exe (PID: 4108), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:24,680 - WARNING - Attempting soft kill of ZeroConfigService.exe (PID: 4108)
2025-05-01 13:06:25,349 - WARNING - Suspicious process: ibmpmsvc.exe (PID: 4140), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:25,681 - WARNING - Suspicious process: ProductAgentService.exe (PID: 4176), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:25,681 - WARNING - Attempting soft kill of ProductAgentService.exe (PID: 4176)
2025-05-01 13:06:25,849 - WARNING - Suspicious process: EasyResume.exe (PID: 4200), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:26,016 - WARNING - Suspicious process: vmcompute.exe (PID: 4208), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:26,173 - WARNING - Suspicious process: WMIRegistrationService.exe (PID: 4216), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:26,345 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 4224), Threat: LOW, Action: WARN, Warning #7
2025-05-01 13:06:26,655 - WARNING - Suspicious process: vivaldi.exe (PID: 4244), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:26,998 - WARNING - Suspicious process: wslservice.exe (PID: 4272), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:27,172 - WARNING - Suspicious process: LMS.exe (PID: 4680), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:30,140 - WARNING - Suspicious process: WmiPrvSE.exe (PID: 5536), Threat: LOW, Action: WARN, Warning #5
2025-05-01 13:06:30,313 - WARNING - Suspicious process: SearchProtocolHost.exe (PID: 6192), Threat: LOW, Action: WARN, Warning #2
2025-05-01 13:06:31,384 - WARNING - Suspicious process: Code.exe (PID: 6260), Threat: LOW, Action: WARN, Warning #26
2025-05-01 13:06:31,543 - WARNING - Suspicious process: unsecapp.exe (PID: 6792), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:32,881 - WARNING - Suspicious process: Code.exe (PID: 7244), Threat: LOW, Action: WARN, Warning #27
2025-05-01 13:06:33,039 - WARNING - Suspicious process: MicrosoftEdgeUpdate.exe (PID: 7340), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:33,864 - WARNING - Suspicious process: Code.exe (PID: 7744), Threat: LOW, Action: WARN, Warning #28
2025-05-01 13:06:34,369 - WARNING - Suspicious process: ShellHost.exe (PID: 7916), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:36,008 - WARNING - Suspicious process: Code.exe (PID: 8280), Threat: LOW, Action: WARN, Warning #29
2025-05-01 13:06:38,002 - WARNING - Suspicious process: Dropbox.exe (PID: 8324), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:40,314 - WARNING - Suspicious process: vivaldi.exe (PID: 8704), Threat: LOW, Action: WARN, Warning #4
2025-05-01 13:06:40,783 - WARNING - Suspicious process: vivaldi.exe (PID: 8836), Threat: MEDIUM, Action: SOFT_KILL, Warning #5
2025-05-01 13:06:40,783 - WARNING - Attempting soft kill of vivaldi.exe (PID: 8836)
2025-05-01 13:06:40,796 - INFO - Successfully soft-killed vivaldi.exe (PID: 8836)
2025-05-01 13:06:40,983 - WARNING - Suspicious process: ProtonVPNService.exe (PID: 8888), Threat: MEDIUM, Action: SOFT_KILL, Warning #3
2025-05-01 13:06:40,983 - WARNING - Attempting soft kill of ProtonVPNService.exe (PID: 8888)
2025-05-01 13:06:41,311 - WARNING - Suspicious process: RtkAudUService64.exe (PID: 8924), Threat: LOW, Action: WARN, Warning #8
2025-05-01 13:06:41,796 - WARNING - Suspicious process: SearchIndexer.exe (PID: 8976), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:43,243 - WARNING - Suspicious process: UserOOBEBroker.exe (PID: 9404), Threat: LOW, Action: WARN, Warning #3
2025-05-01 13:06:43,774 - WARNING - Suspicious process: msedgewebview2.exe (PID: 10264), Threat: LOW, Action: WARN, Warning #3
